Last,First,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
Wilson,Mookie,30,123,416,381,61,110,17,5,9,45,25,7,32,72
Wilson,Willie,30,156,675,631,77,170,20,7,9,44,34,8,31,97
Wine,Robbie,23,9,13,12,2,3,1,0,0,0,0,0,1,4
Winfield,Dave,34,154,652,565,90,148,31,5,24,104,6,5,77,106
Winn,Jim,26,50,18,16,1,1,1,0,0,0,0,0,1,8
Winningham,Herm,24,90,204,185,23,40,6,3,4,11,12,7,18,51
Witt,Mike,25,1,0,0,0,0,0,0,0,0,0,0,0,0
Wohlford,Jim,35,70,106,94,10,25,4,2,1,11,0,2,9,17
Wojna,Ed,25,7,16,14,1,2,0,0,0,0,0,0,0,11
Woodard,Mike,26,48,90,79,14,20,2,1,1,5,7,2,10,9
Woods,Al,32,23,32,28,5,9,1,0,2,8,0,0,3,5
Worrell,Todd,26,74,7,7,0,1,0,1,0,0,0,0,0,5
Wright,George,27,105,245,223,22,45,8,3,2,12,4,6,15,51
Wright,Ricky,27,2,0,0,0,0,0,0,0,0,0,0,0,0
Wynegar,Butch,30,61,226,194,19,40,4,1,7,29,0,0,30,21
Wynne,Marvell,26,137,308,288,34,76,19,2,7,37,11,11,15,45
Yeager,Steve,37,50,146,130,10,27,2,0,2,12,0,0,12,23
Youmans,Floyd,22,33,82,75,4,12,0,0,1,7,0,0,5,29
Young,Mike,26,117,426,369,43,93,15,1,9,42,3,1,49,90
Young,Matt,27,1,0,0,0,0,0,0,0,0,0,0,0,0
Youngblood,Joel,34,97,208,184,20,47,12,0,5,28,1,1,18,34
Yount,Robin,30,140,595,522,82,163,31,7,9,46,14,5,62,73
Zuvella,Paul,27,21,57,48,2,4,1,0,0,2,0,0,5,4
